		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111000110   24   25   24   24   22   19    9   24 11.566297 0.171629 SUCCESS 121
111001000   18   32   19   29   26   23   19   25  7.755941 0.457666 SUCCESS 122
111001010   22   16   24   30   23   28   28   29  6.647125 0.575139 SUCCESS 123
111001100   19   22   27   26   15   27   25   40 16.230607 0.039196 SUCCESS 124
111010000   24   25   16   23   28   29   34   20  9.265255 0.320416 SUCCESS 125
111010010   23   26   32   26   22   19   27   28  5.063008 0.750821 SUCCESS 126
111010100   20   30   27   20   29   23   31   22  6.325403 0.610832 SUCCESS 127
111010110   16   27   24   21   33   28   33   23 10.672624 0.220947 SUCCESS 128
111011000   26   31   32   28   23   18   26   30  8.208074 0.413413 SUCCESS 129
111011010   25   23   24   21   17   23   28   27  3.832387 0.871920 SUCCESS 130
111011100   24   26   23   21   23   22   20   30  3.163126 0.923707 SUCCESS 131
111100000   13   22   20   29   19   22   18   17 12.996836 0.111959 SUCCESS 132
111100010   28   26   27   30   34   32   24   23  8.717798 0.366659 SUCCESS 133
111100100   22   27   13   16   24   19   23   22 10.591201 0.225955 SUCCESS 134
111100110   22   31   21   25   14   31   24   40 19.341250 0.013137 SUCCESS 135
111101000   18   21   18   26   26   27   32   19  8.145186 0.419418 SUCCESS 136
111101010   25   33   18   21   30   24   27   16  9.984827 0.266092 SUCCESS 137
111101100   27   21   32   24   16   15   30   34 15.196594 0.055434 SUCCESS 138
111101110   26   26   24   18   24   15   31   25  7.569263 0.476634 SUCCESS 139
111110000   24   20   24   27   27   22   20   22  2.713641 0.951024 SUCCESS 140
111110010   26   25   17   18   33   26   31   28  9.816685 0.278129 SUCCESS 141
111110100   29   17   18   24   26   18   21   31  9.136169 0.330940 SUCCESS 142
111110110   26   27   31   19   19   15   33   25 11.603368 0.169797 SUCCESS 143
111111000   21   21   29   30   35   24   28   23  8.605924 0.376622 SUCCESS 144
111111010   22   21   25   21   33   25   33   23  7.605010 0.472972 SUCCESS 145
111111100   27   27   24   33   32   21   28   29  8.098847 0.423875 SUCCESS 146
111111110   28   24   27   28   27   22   19   23  3.240577 0.918365 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   28   28   27   27   23   21   24   32  4.699581 0.789150 SUCCESS   0
000000011   31   26   30   23   23   26   25   25  3.589441 0.892138 SUCCESS   1
000000101   21   21   26   31   22   17   28   21  6.535251 0.587500 SUCCESS   2
000000111   27   28   28   27   28   28   22   20  3.835035 0.871692 SUCCESS   3
000001001   22   34   29   22   24   23   23   14 10.043744 0.261969 SUCCESS   4
000001011   31   21   20   28   21   19   30   25  6.773563 0.561249 SUCCESS   5
000001101   29   31   29   22   19   32   29   34 12.369941 0.135446 SUCCESS   6
000001111   31   27   26   16   34   29   16   20 13.840860 0.086009 SUCCESS   7
000010001   30   26   28   28   21   27   23   24  3.402762 0.906604 SUCCESS   8
000010011   19   24   28   25   28   29   23   22  3.579511 0.892932 SUCCESS   9
000010101   23   23   18   34   23   20   24   17  9.034224 0.339417 SUCCESS  10
000010111   26   19   13   31   22   20   25   28 10.322437 0.243120 SUCCESS  11
000011001   21   21   31   23   19   33   25   22  7.536164 0.480037 SUCCESS  12
000011011   29   25   26   16   26   35   30   30 11.538494 0.173013 SUCCESS  13
000011101   23   19   29   25   24   32   30   22  6.257881 0.618370 SUCCESS  14
000011111   32   21   18   26   35   24   22   25  9.808079 0.278756 SUCCESS  15
000100011   27   29   29   30   18   18   25   16  9.882883 0.273342 SUCCESS  16
000100101   28   33   22   19   20   22   27   30  7.841999 0.449055 SUCCESS  17
000100111   18   28   26   26   27   24   20   26  3.723161 0.881197 SUCCESS  18
000101001   21   29   22   18   24   21   19   21  5.584648 0.693645 SUCCESS  19
000101011   28   25   22   33   23   29   21   19  6.647125 0.575139 SUCCESS  20
000101101   33   23   27   21   23   23   23   27  4.528790 0.806546 SUCCESS  21
000101111   31   25   23   30   27   22   24   24  3.817824 0.873175 SUCCESS  22
000110011   20   28   30   23   17   32   19   15 12.525506 0.129252 SUCCESS  23
000110101   28   13   32   20   19   24   19   29 12.694973 0.122785 SUCCESS  24
000110111   24   24   27   20   33   27   23   20  5.443646 0.709275 SUCCESS  25
000111001   19   35   16   26   24   24   24   24  9.120282 0.332251 SUCCESS  26
000111011   18   13   27   19   29   23   31   20 12.406350 0.133974 SUCCESS  27
